exam_type,subject,topic,difficulty,question,a,b,c,d,answer
CPA,FAR,Cash and Cash Equivalents,Hard,A petty cash fund is set at PHP 25000. Cash on hand is PHP 4200 and receipts total PHP 19850. How much is the replenishment?,950,900,1050,850,A
CPA,FAR,Accounts Receivable,Hard,Beginning allowance is PHP 120000 credit. Write offs are PHP 30000. Required ending allowance is PHP 150000 credit. Bad debt expense is?,60000,30000,45000,15000,A
CPA,FAR,Inventory,Hard,Goods available for sale is PHP 980000. Ending inventory is PHP 275000. Cost of goods sold is?,705000,715000,695000,725000,A
CPA,FAR,Depreciation,Hard,Equipment cost is PHP 1200000 salvage value PHP 120000 life 9 years straight line annual depreciation is?,120000,108000,100000,98000,A
CPA,FAR,Revenue Recognition,Hard,Contract price is PHP 2400000. Percentage of completion this year is 35 percent. Revenue to recognize is?,840000,780000,900000,720000,A
CPA,FAR,Liabilities,Hard,Notes payable of PHP 500000 has annual interest 12 percent for 8 months. Accrued interest is?,40000,48000,50000,36000,A
CPA,FAR,Equity,Hard,Retained earnings beginning 900000 net income 260000 dividends 110000 ending retained earnings is?,1050000,1150000,950000,990000,A
CPA,FAR,Statement of Cash Flows,Hard,Net income is 500000 depreciation 90000 gain on sale of equipment 30000 increase in receivables 40000. Cash from operating activities indirect method is?,520000,560000,480000,500000,A
CPA,FAR,Financial Assets,Medium,A bond investment held to collect contractual cash flows is measured at?,Amortized cost,Fair value through profit or loss,Fair value through OCI,Historical cost,A
CPA,FAR,Conceptual Framework,Easy,Which qualitative characteristic means information can influence decisions?,Relevance,Timeliness,Neutrality,Comparability,A
CPA,AFAR,Foreign Currency Transactions,Hard,USD payable 150000 recognized at PHP 55.20 settled at PHP 56.10. Foreign exchange loss is?,135000,120000,150000,90000,A
CPA,AFAR,Foreign Currency Transactions,Hard,USD receivable 90000 recognized at PHP 54.80 year end rate PHP 55.30. Unrealized gain is?,45000,40000,50000,55000,A
CPA,AFAR,Consolidation,Hard,Parent owns 80 percent of subsidiary. Subsidiary net income is 600000. Non controlling interest share in income is?,120000,100000,90000,140000,A
CPA,AFAR,Consolidation,Hard,Unrealized profit in ending inventory from upstream sale is 250000. Parent ownership is 70 percent. NCI share in adjustment is?,75000,70000,50000,100000,A
CPA,AFAR,Business Combination,Hard,Fair value of consideration transferred is 8000000 and fair value of net identifiable assets is 7300000. Goodwill is?,700000,600000,900000,500000,A
CPA,AFAR,Partnership,Hard,Partner A capital 500000 partner B capital 300000. Net income 240000 shared 3 to 1. Share of A is?,180000,160000,120000,200000,A
CPA,AFAR,Home Office and Branch,Hard,Home office shipped merchandise billed at 600000 with 20 percent markup on cost. Realized gross profit on this transfer is?,100000,120000,90000,80000,A
CPA,AFAR,Intercompany Transactions,Hard,Intercompany sale 400000 cost 320000. Forty percent remains unsold at year end. Unrealized profit is?,32000,28000,36000,40000,A
