exam_type,subject,topic,difficulty,question,a,b,c,d,answer
CPA,FAR,Equity,Hard,"[FAR-1] Compute the adjustment amount if base amount is PHP 619,625.00 and rate is 15%.","88,296.56","97,590.94","102,238.13","92,943.75",D
CPA,FAR,Equity,Hard,"[FAR-2] Compute the adjustment amount if base amount is PHP 2,417,687.00 and rate is 18%.","456,942.84","413,424.48","435,183.66","478,702.02",C
CPA,FAR,Receivables,Hard,"[FAR-3] Compute the adjustment amount if base amount is PHP 458,579.00 and rate is 10%.","43,565.01","50,443.68","48,150.79","45,857.90",D
CPA,FAR,Inventories,Hard,"[FAR-4] Compute the adjustment amount if base amount is PHP 2,176,411.00 and rate is 15%.","326,461.65","310,138.57","342,784.73","359,107.81",A
CPA,FAR,Equity,Hard,"[FAR-5] Compute the adjustment amount if base amount is PHP 1,615,840.00 and rate is 18%.","319,936.32","305,393.76","276,308.64","290,851.20",D
CPA,FAR,Receivables,Hard,"[FAR-6] Compute the adjustment amount if base amount is PHP 496,082.00 and rate is 15%.","70,691.68","78,132.92","74,412.30","81,853.54",C
CPA,FAR,Receivables,Hard,"[FAR-7] Compute the adjustment amount if base amount is PHP 223,764.00 and rate is 15%.","31,886.37","33,564.60","35,242.83","36,921.06",B
CPA,FAR,Revenue Recognition,Hard,"[FAR-8] Compute the adjustment amount if base amount is PHP 1,792,576.00 and rate is 18%.","322,663.68","338,796.86","306,530.50","354,930.04",A
CPA,FAR,Liabilities,Hard,"[FAR-9] Compute the adjustment amount if base amount is PHP 1,789,955.00 and rate is 15%.","281,917.91","268,493.25","255,068.59","295,342.57",B
CPA,FAR,Revenue Recognition,Hard,"[FAR-10] Compute the adjustment amount if base amount is PHP 1,061,725.00 and rate is 12%.","140,147.70","133,777.35","121,036.65","127,407.00",D
CPA,FAR,Liabilities,Hard,"[FAR-11] Compute the adjustment amount if base amount is PHP 2,091,492.00 and rate is 12%.","238,430.09","276,076.94","250,979.04","263,527.99",C
CPA,FAR,Equity,Hard,"[FAR-12] Compute the adjustment amount if base amount is PHP 2,088,831.00 and rate is 15%.","313,324.65","328,990.88","297,658.42","344,657.11",A
CPA,FAR,Liabilities,Hard,"[FAR-13] Compute the adjustment amount if base amount is PHP 2,419,101.00 and rate is 18%.","413,666.27","457,210.09","435,438.18","478,982.00",C
CPA,FAR,Revenue Recognition,Hard,"[FAR-14] Compute the adjustment amount if base amount is PHP 1,248,418.00 and rate is 10%.","124,841.80","137,325.98","118,599.71","131,083.89",A
CPA,FAR,Receivables,Hard,"[FAR-15] Compute the adjustment amount if base amount is PHP 2,313,154.00 and rate is 18%.","416,367.72","395,549.33","458,004.50","437,186.11",A
CPA,FAR,Liabilities,Hard,"[FAR-16] Compute the adjustment amount if base amount is PHP 2,077,297.00 and rate is 18%.","411,304.80","355,217.79","392,609.13","373,913.46",D
CPA,FAR,Liabilities,Hard,"[FAR-17] Compute the adjustment amount if base amount is PHP 2,039,546.00 and rate is 10%.","224,350.06","203,954.60","214,152.33","193,756.87",B
CPA,FAR,Revenue Recognition,Hard,"[FAR-18] Compute the adjustment amount if base amount is PHP 1,905,836.00 and rate is 18%.","343,050.48","377,355.52","360,203.00","325,897.96",A
CPA,FAR,Liabilities,Hard,"[FAR-19] Compute the adjustment amount if base amount is PHP 525,432.00 and rate is 12%.","59,899.25","63,051.84","69,357.02","66,204.43",B
CPA,FAR,Liabilities,Hard,"[FAR-20] Compute the adjustment amount if base amount is PHP 506,583.00 and rate is 10%.","53,191.22","55,724.14","48,125.38","50,658.30",D
CPA,FAR,Equity,Hard,"[FAR-21] Compute the adjustment amount if base amount is PHP 1,159,506.00 and rate is 10%.","127,545.66","121,748.13","110,153.07","115,950.60",D
